campaign_id,channel,date,impressions,clicks,conversions,revenue,cost
3,email,2026-04-16,4528444,154763,4486,403497.06,10281.51
3,paid_social,2026-04-16,783166,8306,102,10325.74,7388.19
3,display,2026-04-16,3958635,16014,162,12847.74,14468.05
3,search,2026-04-16,960699,41006,1880,208849.09,10806.35
3,instore,2026-04-16,1994,0,171,20316.78,1139.45
3,email,2026-04-17,6886610,152682,8382,909776.62,12411.84
3,paid_social,2026-04-17,1290085,14326,199,17736.28,9642.18
3,display,2026-04-17,1596806,6828,69,5464.91,7171.55
3,search,2026-04-17,1091129,55942,4158,534424.84,11855.64
3,instore,2026-04-17,2012,0,102,13228.16,950.44
3,email,2026-04-18,5588743,200732,6622,668602.4,10410.76
3,paid_social,2026-04-18,878647,6543,159,12969.19,8145.59
3,display,2026-04-18,1577605,8867,129,8922.41,6907.63
3,search,2026-04-18,954546,46500,2211,223526.41,10134.54
3,instore,2026-04-18,1975,0,206,27895.77,2040.33
3,email,2026-04-19,3736266,129626,6309,628207.16,7950.58
3,paid_social,2026-04-19,1399409,10009,125,11591.06,11636.41
3,display,2026-04-19,2426574,15099,168,14195.98,9731.25
3,search,2026-04-19,854147,29855,2206,277223.55,8949.01
3,instore,2026-04-19,2017,0,212,29263.28,2166.24
3,email,2026-04-20,6363561,170060,5321,519715.76,14239.45
3,paid_social,2026-04-20,1521904,10716,200,16432.75,14336.14
3,display,2026-04-20,2090083,13227,161,13414.19,7953.05
3,search,2026-04-20,743279,37980,2084,227008.0,10181.76
3,instore,2026-04-20,1971,0,101,12914.59,1836.26
3,email,2026-04-21,8223128,194132,10782,996241.44,15161.29
3,paid_social,2026-04-21,1418369,11950,213,19728.87,13002.38
3,display,2026-04-21,3128774,11798,121,8675.3,12649.41
3,search,2026-04-21,586502,25959,0,0.0,7229.94
3,instore,2026-04-21,1962,0,142,21801.61,1096.42
3,email,2026-04-22,4260373,98169,5112,474656.03,8114.48
3,paid_social,2026-04-22,1384831,14306,227,17904.43,12891.28
3,display,2026-04-22,3361288,18148,191,16012.29,15060.26
3,search,2026-04-22,1124372,52527,1927,201051.13,15059.29
3,instore,2026-04-22,2067,0,186,21798.72,815.63
3,email,2026-04-23,4103697,137285,4280,452811.62,8327.39
3,paid_social,2026-04-23,1120612,12863,329,30685.54,9026.28
3,display,2026-04-23,3431577,15796,150,13408.91,12053.11
3,search,2026-04-23,779277,33623,1853,218724.1,10451.18
3,instore,2026-04-23,1999,0,99,14075.17,2028.17
3,email,2026-04-24,3743555,142894,5122,440187.31,8476.44
3,paid_social,2026-04-24,1845000,23615,605,50825.11,15344.63
3,display,2026-04-24,2347247,10447,131,11601.82,10378.04
3,search,2026-04-24,1079056,32730,2505,259575.05,13220.84
3,instore,2026-04-24,2002,0,186,24369.75,2059.31
3,email,2026-04-25,4365546,155335,8267,827305.63,9541.41
3,paid_social,2026-04-25,1235596,13467,333,33031.98,11442.43
3,display,2026-04-25,2583266,9769,73,5692.24,9947.38
3,search,2026-04-25,1052256,44384,0,0.0,11818.47
3,instore,2026-04-25,2047,0,199,24957.99,1016.0
3,email,2026-04-26,7167702,157189,6491,672900.89,12552.14
3,paid_social,2026-04-26,1389385,14029,346,28858.55,13495.69
3,display,2026-04-26,3111086,11125,169,14053.94,10870.6
3,search,2026-04-26,978961,31086,1777,217827.62,10596.14
3,instore,2026-04-26,2021,0,168,23663.99,2423.27
3,email,2026-04-27,5784519,158539,3877,344308.89,10693.49
3,paid_social,2026-04-27,993024,12048,235,18563.77,7277.74
3,display,2026-04-27,2860746,11499,126,10250.94,11351.92
3,search,2026-04-27,1222001,45202,2492,317142.3,12663.71
3,instore,2026-04-27,2021,0,100,13984.52,919.97
3,email,2026-04-28,7555688,211461,8175,826084.39,15453.53
3,paid_social,2026-04-28,1883757,24050,363,28411.54,15464.82
3,display,2026-04-28,2273186,8600,67,5003.36,7778.54
3,search,2026-04-28,1417933,67418,2575,314130.24,14581.72
3,instore,2026-04-28,2017,0,133,16481.38,2049.62
3,email,2026-04-29,6281718,243913,8757,942496.38,13719.91
3,paid_social,2026-04-29,1039030,12624,303,29009.48,9973.06
3,display,2026-04-29,1739879,8726,89,7800.79,7799.99
3,search,2026-04-29,1017242,50586,2380,310237.87,10415.56
3,instore,2026-04-29,2102,0,140,18174.51,1874.12
3,email,2026-04-30,6045241,213085,5735,571154.26,13005.88
3,paid_social,2026-04-30,855916,8258,145,11525.36,7383.39
3,display,2026-04-30,1892640,10134,81,6745.02,8164.5
3,search,2026-04-30,571667,25696,943,124060.24,7522.4
3,instore,2026-04-30,1984,0,220,32203.98,2181.76
3,email,2026-05-01,5883794,205865,7735,861146.06,10297.23
3,paid_social,2026-05-01,928384,6561,84,6680.51,7873.81
3,display,2026-05-01,1897958,10890,178,13516.36,7931.67
3,search,2026-05-01,710542,23708,795,104149.77,9469.37
3,instore,2026-05-01,1919,0,169,24358.68,2447.81
3,email,2026-05-02,5303521,167154,4254,397780.7,11012.95
3,paid_social,2026-05-02,1637318,15937,261,21218.54,15546.62
3,display,2026-05-02,2901831,15237,252,22601.81,11096.67
3,search,2026-05-02,1091541,38671,2441,254758.28,13240.34
3,instore,2026-05-02,2072,0,180,23996.07,2414.66
3,email,2026-05-03,6931285,151198,0,0.0,15384.95
3,paid_social,2026-05-03,1464494,11573,209,21157.66,14267.92
3,display,2026-05-03,3303798,16208,159,10934.18,14556.52
3,search,2026-05-03,1124689,58476,3358,417656.57,14763.18
3,instore,2026-05-03,2095,0,117,18042.33,1220.49
3,email,2026-05-04,6749078,223331,7919,702703.48,12399.31
3,paid_social,2026-05-04,1519827,17681,453,41029.85,12997.24
3,display,2026-05-04,2692219,12681,94,7942.12,11985.72
3,search,2026-05-04,983812,32575,1095,121073.48,12528.54
3,instore,2026-05-04,2011,0,141,19323.43,1543.71
3,email,2026-05-05,7235556,232967,12669,1136302.81,14021.97
3,paid_social,2026-05-05,1807663,15454,427,38029.37,15328.8
3,display,2026-05-05,2370836,10005,84,5912.01,9862.87
3,search,2026-05-05,770667,33432,1611,207164.96,8245.97
3,instore,2026-05-05,1997,0,101,12482.44,1092.94
